Duration (in seconds),"Context (Medical=1, Recidivism=2)","Transparency Level (N1, O2, T3, S4)","Experimental Group [MN1, MO2, MT3, MS4, RN5, RO6, RT7, RS8)","Validation (1=right, 2= wrong)",Attitudes to AI,Attitudes Qual,AI Understanding,AI Understanding Qual,Fairness,Fairness Qual,Trust,Trust Qual,Negative Responsibility Human,Negative Resposibility AI,Positive Resposibility Human,Positive Resposibility AI,Age,"Education (Less than high school degree = 1, etc�)",Sex,Income,"Political View (Extremly Left 0, Extremly Right 100)",Religion (No religion 0 - Fully religious 100),Ethnicity
158,1,2,2,1,8,AI can make decisions that are not clouded by emotion,6,"I have read a lot about AI however, I do not know everythign there is to know ",8,it will not be influenced by emotions or people they know ,7,again lack of emotion,2,2,6,8,25,5,2,5,73,0,6
185,1,3,3,1,7,The AI has the background knowledge to influence that decision,8,It previously explained how the AI makes decisions ,6,I think it’s logical ,6,Enough factors are put into consideration for AI to sound safe,4,9,6,8,19,2,2,1,88,100,6
286,2,1,5,1,5,It depends on what information the AI bases is decision on,1,Was it specified before? I didn't read it if so.,4,I don't know if it's fair or not.,3,"At the moment, not. If I were more sure about the AI criteria it could be.",3,9,3,8,26,5,2,7,15,0,6
287,1,1,1,1,6,If the AI is made to think in the way that the human mind is made to think but maybe. but i feel as though people arent ready to go that far with AI as of now and would prefer actualy skilled humans to do it for them ,3,Im nott sure the though process or the factors the AI considers to come to a conculsion,4,I guess so since AI doesnt not have feelings like a human so they are not biased,6,i would since the doctors trust it and i trust the doctors i would have no reason to doubt it ,10,3,8,10,55,5,1,4,8,51,1
187,2,4,8,1,5,It's not good to trust AI just like you'd trust someone who's alive,5,there ist a schema,7,It's still AI but I think it's fair,4,"in my case, not at all, I wouldn't be sure",10,10,7,10,25,6,2,2,13,2,6
248,1,4,4,1,6,The AI considers factors that the lead consultant may not have even considered which would affect a patient's informed choice.,6,It seems to have priority for the procedure required above other factors.,4,Every medical decision is a cse by case basis and can be very complex so no one variable can be used to make a decision.,5,It's uncertain whether AI can be relied upon and whether it's better to trust the doctor to do what's in the patient's best interest.,8,3,7,3,21,2,2,3,60,72,6
522,2,4,8,1,6,"It seems the AI is evaluating more effectively and fast the information, and it's very logical so the Lead Officer can present the decision-making as the most logical option based on the information",2,I only know that the AI analyze the information but i don't know how the algorithm of the AI works,5,"Based on the logical of the AI, yes, it sees the information the most logical way ",4,"The AI can see the information in a logical way but it needs help from a person, sometimes the things need more… heart than brain",4,8,4,8,23,4,2,1,29,8,2
714,2,1,5,1,8,The AI would do a better job than the police department in the sense that they're going to focus on the past life of offenders and see if there's any form of humanity in them.,7,The AI is going to make its decision by scanning through all the available documents of offenders and their lives too.,7,The AI is fair in the sense that it takes all things into consideration.,8,"Yes, I trust the AI to make these decisions in the sense that it will make fair decisions.",6,8,8,10,38,6,2,6,88,81,6
1282,2,3,7,1,7,"They can use the AI to get an idea, which ex offender might need help, but in the end it must be the Lead officer who takes the decision, because every case is different. ",9,I understand yes. similar algorythms are used in medicine too. for example to predict whether a patient will continue taking their longterm medication based on their socioeconomic status etc,5,"It can help sort out cases of ex offenders that are of minor importance and severity but, every case is diffent and unique",6,"Like I said, it can help sort out offenders that commited minor crimes. I would use it, but with the threshold set very low. Someone who is not a drug addict, or has not been abused etc, doesnt mean that he doesnt need help readjusting ",8,4,7,8,25,6,2,1,40,13,6
3695,1,1,1,1,8,i choose because  it is helpful,8,it is effective to progress,6,yes it is fair in all aspect,8,yes i trust on it,7,9,8,9,40,6,1,11,6,86,6
272,2,2,6,1,1,I don't believe we should be using an AI to make these decisions. The police offer will be able to evaluate each offender better than an AI will,2,I don't understand the process well but it seems it wouldn't be a viable option,1,I really don't think an AI should be making these decisions so it doesnt sound fair to me.,1,A human would be able to make a better decision,0,10,0,10,32,2,1,5,69,51,7
214,2,4,8,1,5,it could either way just depends,3,not really its just a data base,4,depends on race,3,it is still new,5,5,2,3,20,2,2,1,50,49,1
208,2,2,6,1,5,"I don't mind the AI helping make a decision, but it should ultimately come down to the Lead Officer.",8,"Based on algorithms, although I may not understand each one.",9,Decisions made by AI are unbiased.,10,"Depending on who coded the AI and there bias, yes I would normally trust AI to make the decesions.",9,1,4,10,38,2,1,4,15,8,6
263,1,1,1,1,7,At some point AI will have a better idea of death and what fully causes death than any of us can comprehend. At that point the AI can make these decisions on what is necessary better than humans can,8,AI makes decisions based on importance and need of the operations,8,It's fair because it's entirely based on need on not external factors like money or insurance,2,AI is new and has a lot of human control still in it at the moment. There can be coding put in for bias and thats a serious problem when choosing between life and death,3,7,3,7,30,3,1,3,15,2,6
389,1,3,3,1,8,"AI can make an objective decision which can help the consultant, but overall I think a person should make the decision",6,"The list provided explained the basics, but not how each factor is weighted",6,"it can make more objective decisions, but requires the inputs to be accurate and not biased",6,I would be hesitant if just the AI made the final decision but believe it is a technology which should be utilised ,6,3,7,3,23,6,2,11,47,67,6
308,2,1,5,2,3,"There are some objective qualities that AI can use to help, however the more human elements of a person likely can only be assessed by another human.",3,"I'd assume there was an algorithm programmed into the AI, but I don't know much else.",5,It is fair in its objectiveness but likely can't consider human elements.,5,I trust it to make parts of these decisions,7,6,4,9,19,3,2,12,10,10,6
338,1,4,4,1,8,The lead consultant can rely on the facts calculated by the AI to make a decision ,8,I have read the decision factors and the relative percentages used to weigh them,6,Objectively it covers important things but the life or death aspect of the situation isn't really accounted for,7,I trust AI to make an objective decision and not to be swayed by emotions,8,7,8,7,22,3,2,12,20,60,5
324,1,4,4,1,6,"As long as it is a supplemental tool that is reviewed by a human, it is OK to use it.",7,It appears the decision is primarily based on necessity of & reason for the procedure which makes sense.,6,I suppose it is fair because it just analyzes inputted data. ,1,These decision should not be made unilaterally or solely based on a computer. ,5,5,7,5,33,5,1,1,21,0,2
271,2,1,5,1,3,It will give signal for us,6,It help to assist we humans,7,It picks the right decision,6,Yes because it is direct,3,7,3,6,41,5,1,9,60,67,1
162,1,3,3,1,4,The AI is very efficient and does not need much help,7,The AI makes good decisions,9,I expect the AI to make informed decisions based on the data available,9,I very much trust the AI to make the best decisions for the patients.,3,8,4,8,29,5,1,5,65,30,7
371,1,2,2,1,7,All sources of data/knowledge should be taken into account.,6,"As long as you understand the algorithms used, you effectively understand how the AI is thinking.",8,"If it is programmed to be fair, the AI will have no choice but to always be as fair as possible.",6,"It's decisions should be considered, but not followed blindly. i.e. a human should always check its working.",8,7,8,7,21,2,1,1,20,15,6
465,1,2,2,1,6,"I think yes even tho AI can sometimes be wrong but also can be wrong Consultant, AI is using it's processors to tell Conslatnt which ones from patiens have higher percentage of survivng",8,"I think it's simply based on maths, patient symptoms, medical history, family medical history.",2,Everyone should be provided with the same health care but in this scenario they can't so AI has to choose which one should be taken care of.,6,"Yes, but as I mentioned before it can be wrong sometimes",2,8,10,8,27,5,1,2,15,0,6
459,1,3,3,1,9,The AI would not be baised with his decison thats why i picked strongly agree,9,I understand that the AI decision will be based on the inputed data unto the system,8,The AI decision will be fair since its based on Technology,9,I trust the AI to make the decision so far the algorithm will not ne tampered with,5,4,9,9,31,7,1,6,84,67,6
132,1,1,1,1,8,AI is a strong and useful tool,7,"I know about AI generally, but not much detail given on this particular bot.",5,Same as previous answer - not enough info.,5,Cannot be sure without more detail.,10,0,10,0,22,5,1,5,15,70,6
461,2,3,7,2,7,The AI could offer an unbiased opinion based solely on data for who is most in need of support. However the AI doesn't have the ability to consider individual circumstances.,8,The AI combines various statistics about the offenders to make a decision on who is most in need of support following prison release.,8,"Statistically, the way AI makes decisions is fair because it cannot form a personal opinion. However, the fairness of it's decision might be affected by the range of data it is told to consider.",8,I trust the AI to make these decisions if it is carefully programmed to consider a fair range of data. ,8,2,8,8,29,6,2,6,20,25,6
515,1,4,4,1,8,My above answer means that i agree that the lead consultant should use the help of AI when taking decisions.,8,I mean i understand the pattern or logic behid how the AI takes decisions according to the chart shown.,7,The AI decision can be considered fair and reasonable.,8,My answer show that i trust the AI to make decisons.,2,10,1,10,29,8,1,12,20,89,6
170,2,4,8,1,0,it involves discussion and emotion,10,"It makes sense using data, trends and statistics",5,I'm not sure if 'fair' is the correct word,0,I think this should be a human decision,10,10,10,10,22,3,1,3,44,47,6
293,2,2,6,1,5,"While AI can aid in decision-making, I would need more information on the variables being used to hve more confidence in my response.",1,I know almost nothing about the underlying mechanisms of AI.,4,"There is a chance that people of color could be disproportionately and negatively affected, as they are in other AI applications, such as photo/facial recognition.",4,For the reason in my previous response.,6,4,5,5,51,7,2,5,5,0,6
213,1,2,2,1,8,The consultant should use the unbiased ai data but temper it with thoer human compassion,4,"I kinda get it, nvut I'm not sure what a neural network is",8,"It's unbiased, which is not the same as fair. Fairness is a very subjective concept",6,I would like the decisions to be tempered by human emotion,8,2,10,3,28,5,3,5,0,0,6
286,1,4,4,2,6,It should be used as a tool but not in all scenarios.,4,AI will make decision on data only.,4,It will be fair to some and not others.,2,Life and death decisions should not be made solely by AI.,1,4,4,2,55,3,1,5,19,29,6
261,2,2,6,1,7,yes but other peoples thoughts are always valid,9,yes,7,sometimes it cant always be fair,6,a person might be beter to judge instead of a computer,8,7,7,8,23,5,2,1,50,11,6
203,2,3,7,1,7,Should use it as a tool to narrow down the offenders but needs to be overlooked by a human,2,It uses lots of data but unsure how it prioritises each piece in the decision making,5,Compares same data for all people ,8,It would not be implemented at such a high level if it was unreliable,5,3,2,8,22,6,2,3,40,20,8
256,2,3,7,1,7,"AI is unbiased, whereas police decisions can come with some kind of bias in decision-making. ",7,AI takes numerous factors into consideration when making decisions on convicts. ,7,Unbiased,7,"Again, it seems that the AI's decisions are unbiased, while decisions made by the police / lead police officer may come with some bias / prejudice. ",7,5,7,5,20,2,2,4,0,0,7
159,2,1,5,1,5,It could be useful to a degree but humans are much more capable of looking at human risk factors and other factors that could influence their decision ,4,I imagine it looks at various static risk and protective factors,1,Fails to account for other dynamic issues that humans can understand,0,I don’t think technology can really do a role based on human compassion and empathy,5,8,8,3,24,6,2,3,4,86,6
164,2,1,5,1,9,"We’re at a point where we need to start trusting these new age tools. An AI, if configured correctly, will be better at decision making than humans",8,I work with AI so am familiar with inputting raw data and setting rules to understand it,5,There’s no clear answer here as it depends on how the AI is configured,7,Yes - we need to start trying to trust AI,3,8,5,8,31,5,1,11,78,0,6
611,2,4,8,1,10,"The lead officer should use the AI to make informed decisions so the process will be bias free, fair and credible",10,"From the information given earlier, the algorithm of the AI factors in several reasons to choose the perfect candidates",10,True.This is because the same set of criteria is applied to everybody and no special treatment can be served,10,Yes I do. The AI will make the best decisions as it will be free from human errors and bias,5,8,7,9,41,5,2,5,19,0,6
268,2,1,5,1,10,Because they will then know which ex offenders to prioritise. ,6,I’m not sure what data they use to get this information. ,6,As I’m not sure which data they use to prioritise. ,10,This is what they are paid to do. ,0,8,0,10,23,3,2,12,50,50,7
221,1,2,2,1,5,"I believe that AI could help in organising the information, but should be used alongside the Lead Consultant to help their decision.",8,I believe that AI makes decisions based on algorithms. ,6,"It can make unbiased decisions based on factual information, but that doesn't mean it's always fair.",6,"I trust AI to make unbiased decisions, but I would want the involvement of a consultant in final decision making.",6,8,6,8,22,4,2,3,19,49,6
248,2,1,5,1,6,I think it would be useful to make use of technology that is available but also the lead officer will have the best judgement when it comes to deciding who to give it to,4,I am not very familiar with how AI works,7,It removes bias from a situation as it is not human,5,I think it should be used in conjunction with the opinion of the lead officer,2,8,2,8,23,5,2,3,40,5,6
330,1,2,2,1,7,They should take it into account but not rely solely on it as they also have expertise.,5,I understand that it uses processes created by humans but I am not overly familiar with how this works.,5,It is based on facts rather than being fair or unfair.,5,I think it should be used in combination with a present human perspective.,10,0,10,0,30,5,2,7,40,0,6
232,2,3,7,1,10,The AI considers a variety of factors but can also identify correlations between factors and recidivism.,5,I have a basic understanding as outlined but don't know the details.,5,I don't think fair is quantifiable.,7,I trust the AI to see patterns the humans will not.,0,10,0,10,27,2,1,3,70,80,1
770,1,1,1,2,7,Artificial Intelligence would help the lead consultant to efficiently decide which patient's case is severe and needs immediate attention ,7,"Based on the information given, the AI is able to query its knowledge database and draw out concise solutions for the problem at hand ",7,I would say it is fair because there is no bias decisions made. Decisions are made solely on information given,7,"Yes, I trust the AI to make these decisions",7,6,8,6,38,6,1,3,80,82,6
478,1,2,2,1,7,The AI can think completely logically so it could help the lead consultant with decisions ,5,I wouldn’t say I know enough about it to go passed 5,4,It might not be fair morally but it’s decisions would be logical,7, Yes because they would be less likely to make mistakes ,7,10,6,10,21,4,2,3,42,0,6
513,2,2,6,1,3,Not sure AI can make an informed decision based on previous crime and the change ex offenders have made during their time in prison.,6,AI makes it's decision based on the information on 'paper' provided to it,5,If it has enough information in certain times the decision can make sense,4,"As long as there is a human making final decisions based on AI's choice, information provided.",9,8,9,8,32,5,2,5,50,1,6
163,2,2,6,1,5,The use of AI could speed up the process of prosecuting offenders,6,The AI uses background information to make decisions,4,On balance the AI makes decisions fairly,6,I trust AI because it is unbiased,6,6,6,6,20,3,2,7,60,11,6
573,2,3,7,1,7,"I think the lead officer should strongly use the AI to inform the decision, but they should also input other unbiased opinions also.",9,I understand that the AI uses time spent in jail and how severe the crime was to decide who deserves support.,8,"I agree that the AI decisions are fair but I feel as though some aspects, like gender, should be excluded.",9,Yes I trust the AI will make proper decisions most times.,1,7,3,5,21,2,2,6,15,40,1
485,2,4,8,1,5,"The AI is taking many factors into account meaning it is a useful tool. However, the validity of the data it produces is questionable. It has the problem of only looking at quite quantitative data which might not show the whole picture in the way someone having in depth conversations with the inmates might.",5,"The factors are clear and the output of data is clear, but it is not clear how the AI could have measured some of the factors that are more up to interpretation such as behaviour in prison",4,"There is a level of objectivity to the data which would suggest it is fair, but at the same time, AI is only as objective as the humans behind it - there could be quite high bias in factors such as gender and behaviour",4,"I think the AI is a useful tool, but I don't trust it to be the sole decider because it cannot take the full picture into account",8,6,6,5,18,2,2,11,3,8,7
473,2,1,5,1,5,"For me, it depends upon the quality of the AI provider",7,I understand the rudimentary details of how AI works.,6,My understanding is that AI draws upon aggregated information to determine outcomes.,6,"There’s not one centralized AI that is used by the collective so, once again, I’d say it depends upon the quality of the specific  AI system being utilized",2,3,3,7,47,3,1,8,4,7,6
388,2,2,6,1,6,"Somtimes AI is able to help decision making, by analysing large amounts of data, which humans wouldn't be able to analyse without AI. Therefore, the more data that is input and used in the decision making, the better the decision should be. However, I wouldn't place 100% reliance on AI as there are certain elements to this decision that cannot be based purely on data.",5,it uses data and learns from past data to help improve its accuracy ,7,"I think if the information it is using is accurate, then I imagine that any decisions derived from it would be fair. However, it will not be possible for the AI to take into account every single piece of information and therefore it cannot be fully fair.",7,"To a certain extent, yes. However would also want human input to support any decisions made",9,3,9,4,30,5,2,11,39,3,6
447,1,4,4,1,6,So long as the end decision is made by an informed person then using AI to drive data analytics and provide either support or reasoning to a decision is useful. There are clearly matters where the AI would overlook intangible information based on whatever parameters are set up and so AI may not be a sufficient tool in every circumstance.,5,I understand broadly how AI works and makes decisions but I don't know how it is applied to this particular scenario. Presumably the hospital builds its own criteria and the AI drives the analysis and outputs.,7,"Similar to my earlier point, I think AI is fair as it offers an objective view based on the data and parameters. However in the circumstances where there are nuances to the situation then I don't think an AI decision would be fair in that situation.",7,I'd trust the AI to make the decisions so long as there is an informed approval from a human(s),10,8,10,8,30,5,1,10,25,0,6
535,1,3,3,1,8,"Because the AI will be unbiased, it refers to the facts of each patient, also it will be a more efficient way meaning more people can be treated, with those in most need being treated first.",9,"The AI decides who needs treatment most based on factors such as age, BMI, previous conditions ",5,Not necesarilly because it priorities those who need treatment first rather than someone who might not be catergorised as needing treatment quick and so they will have to wait for longer and might keep being pushed down the list,6,I think the AI should indicate to doctors which patients should receive treatment first but the doctors should be able to have final say. I trust that the AI is accurate in what it does.,4,8,4,10,19,2,2,9,40,10,6
546,1,1,1,1,9,The AI would use a decision-making algorithm that best suits the choices made. This is more credible as they are devoid of human emotions that may cloud judgement. ,8,Decision-making algorithms work with a set of prescribed and pre-fabricated parameters. ,8,"Like I said before, their decision would be devoid of human emotion which could cloud better judgement. ",7,"An AI is not prone to some of the debilitating conditions that predisposes a human, no matter how highly skilled they are, to errors. ",8,5,9,8,40,5,1,7,10,75,1
358,1,3,3,1,9,I believe that the use of AI can really make the lead consultants role easier and in turn increase in accuracy and offer better service to individuals who has more unique cases,6,"I believe on the previous page it gave a good overview of how the AI works, but it doesn't go into the individual information of it, so I have a decent gasp of it, but it leaves me wanting to know more information.",10,"If the AI is completing the decisions, well there is no bias involved and no personal impact.",10,"AI is always consistent and accurate, I have no doubt that it'll be honest and open with the decisions it makes.",8,2,1,9,27,5,1,7,35,65,6
582,1,4,4,1,8,The AI considers a lot of different factors which a single person would struggle to take into account. I think this method of deciding who receives treatment and when is less subjective and therefore more fair.,7,I understand that the AI assigns a weight to several different factors which influences when or if a person is treated. I think these factors are weighted differently depending on how big of an influence they have on a person's likelihood to get better.,8,"It takes into account a wide range of factors, including aspects such as how severe a condition is and how long patients have been waiting to receive treatment.",6,I do but only if the final decision is given a second opinion by specialists.,2,8,9,7,28,7,2,4,35,0,6
699,2,3,7,1,9,It will really help in making decisions better as explained in the study,9,It really the best in making decisions,10,Yes because it is a machine,10,Because it is a machine and has little intervention of human,10,10,1,1,35,5,1,11,10,83,1
192,2,3,7,1,8,Removes human bias for the most part,4,Understand the underlying variables but not how the AI considers them ,8,Unbiased ,9,Unbiased and improves,3,7,3,8,22,3,1,1,30,20,6
283,1,4,4,1,8,The lead uses AI to see which patients they should give priority based on their data ,7,Just follow the chart,4,I don’t think it’s necessarily fair. ,2,"Not really because it knows data, but that’s it ",6,6,4,6,24,5,2,6,50,11,2
275,1,3,3,1,7,Good idea but is it faster?,8,It factors the patients risks.,7,"It examined the physical,",6,It seems pretty good for it’s part.,7,5,8,5,43,4,1,4,36,20,6
754,1,3,3,1,7,"I think they should use it to help make some decisions and get an holistic idea, however I think they should also use conscious human decisions too incase anything goes wrong; for an hospital scenario I dont think everything should be based on Artificial Intelligence as it can be risky.",7,"Yes I do understand how AL works however it is a bit confusing sometimes and it makes me question whether it is the right decision or option to choose, and largely depends on the situation.",7,"Yes, I believe AL does consider many options and chooses what it thinks is best suited to a specific situation.",6,"Yes and No - I think that AL is very smart and modernized/advanced so it is intelligent and can make good decisions. However, for serious situations such as in hospitals, serious decisions should be made which i feel should be based on the trained skills or doctors, rather than computer based technologies incase there are glitches which can cause serious issues.",8,10,7,9,25,4,2,4,30,30,6
159,1,3,3,1,5,AI Can't make decisions based on emotional/qualatative data,9,I read the details,6,As before doesn't consider human  factors,5,As before,10,0,10,0,41,6,2,9,52,33,6
174,1,1,1,1,7,No bias involved,6,programmed to outweigh the positives and negatives,7,Only priorities those most in need on stats,6,Will not act on its own impulses,7,7,7,7,22,5,1,1,43,0,5
341,1,1,1,1,7,It could be a beneficial instrument to support decisions based on previous outcomes,7,"the AI gets ""fed"" information on previous cases and with set algorithms can predict outcomes about similar situations",5,"It is fair in the sense that its responses are based on mathematical models, but cannot keep in consideration more ""human"" aspects such as the psychological state of the patiens",6,The AI in my opinion can offer a support in the decision making process but a more comprehensive analysis is necessary,8,6,8,6,31,5,3,2,9,10,6
599,2,4,8,1,7,"AI uses a lot of information about the ex-offenders which can be used in identifying certain traits and predict in some way that person's future behaviour when out of prison. I think it would be an informed decision to take into account the information provided by the AI. However, the data should be checked to make sure that the Lead Officer agrees with the AI decisions",9,"Several variables are taken into account by the AI, which are controlled by a human",6,"the AI makes decisions based on data, which might be fair if we take into account that individual's personality and circumstances",9,"AI can be trusted, but quality checks should be run to ensure that AI's decision matches those of police officers",3,2,0,0,25,5,1,3,30,20,6
629,1,3,3,1,8,There aren’t enough resources to go around so the decision has to be made one way or another.  Using AI should produce a fairer result with less personal bias.,8,It will essentially prioritize them based on likelihood of success based on the factors outlined in the initial paragraph.,8,There is no perfect answer on something like this because ideally you would save everyone but there aren’t the resources to do so.  AI is making the decision based on scientific measures which to me seems more fair than leaving it up to an individual who will inherently have personal biases.,8,I think it’s using the best information available based on what we know at this time ,4,4,6,7,41,6,2,12,48,28,6
1048,1,2,2,1,10,"The Lead Consultant should use the help of the AI because with the help of the deep learning software and the knowledge of patient information the AI has, making those decisions will be smarter and easier.",10,The AI use deep learning software incorporated in it to analyse patient information to help make decisions.,10,The AI will not be biased because the decisions will be made based on available patient information.,10,I trust the AI to make these decisions because they will not be made out of bias.,5,10,5,10,35,5,1,11,10,80,6
272,2,1,5,1,6,The Lead Officer should use the AI for a just decision.,3,I've read into the topic of AI.,6,i would say yes.,6,I do trust the AI to make a just decision.,3,6,5,5,27,5,1,3,55,1,1
529,2,4,8,1,6,"I think that AI can help make more objective, helpful decisions.",4,"I think AI would use some complex algorithms, but unsure of the details of how that work.",7,"I think AI does not have biases, so the decision s would be fair.",7,"Yes, I think AI would have been tested to be reliable.",4,5,4,7,31,6,1,6,53,59,4
425,2,2,6,1,7,I think the AI would make decisions based on facts provided not emotions.,8,The AI makes decision based on accurate facts,4,The AI may not put some things into consideration ,6,The AI should be trusted to make 70% accurate decisions,7,9,7,8,33,7,1,2,81,77,6
234,1,3,3,1,7,The AI should be used to inform decisions however not all variables may be accounted for and as such should be used to inform and not to decide,4,I understand the incoming variables but not how it makes the final decisions,10,AI will prioritise who it thinks needs treatment the most and is not biased like humans,7,I would “dry run” the AI first against what the hospital did and then if it roughly replicated the normal decision making process let it inform from there,7,5,7,5,25,6,1,4,45,0,6
463,1,2,2,1,8,This would be very helpful in making sure the right patients get treated first ,1,not sure how it makes the big decisions ,2,don't know what selecting the patients would be based off,7,if i knew this was 100% safe and the best way to select these patients then i would trust it if the professionals do,5,10,3,9,28,3,1,2,61,1,6
395,2,3,7,1,2,"It could absolutely help, but I personally don't feel comfortable letting an AI determine things like this. Things like this should be handled on a case by case basis. ",7,"People such as case workers, psychologists, and other humans would do way better than an AI, but I do understand that the AI takes many things into consideration.",6,"It is valid, but as I said before, it wouldn't know enough compared to humans. ",1,"The idea of an AI making decisions for criminals is terrifying. We can use the money can build more rehabilitation centers so that when prisoners get out, they can stay out and actually do good for the community.",10,10,10,8,18,3,3,1,25,0,1
166,2,3,7,1,6,As long as it isn't the sole reasoning I think it's a helpful tool,6,Seems to consider most things,6,I agree,7,I think in most instances it can be trusted,6,4,5,5,28,5,1,9,70,82,6
396,2,2,6,1,4,I wouldnt base my whole decision on the bases of AI as they are just going by whats on the system the AI wouldnt know the real threat of releasing certain people,3,I dont have the greatest knowledge of AI but have some basic understanding,7,AI cant be unfair as there is only technology making the decisions there is no bias like how there could be with people as peoples emotions could be involved,4,I dont know if  i would fully trust AI with big decisions,10,6,7,6,26,3,2,1,50,46,6
812,2,4,8,2,6,The lead Officer should not make use of the AI to make decision cause it targets most recent convictions than the time spent in prison and age and so on. It should be based on good behavior followed by time spent then age.,2,I don't underatand how the AI makes decision cause it does not have human feelings,2,The way the AI makes decisions is not fair to me cause i believe good behavior has to come first then others can follow. ,0,No i don't cause it does not have human feelings ,4,3,4,5,29,6,1,7,91,72,6
271,1,2,2,1,5,"The question is, how well is the AI programmed. In some AI programs there were racial issues ",9,I informed my self a lot about AI’s,7,Depends on how well it is written ,5,Just if the AI had enough “training”,3,7,10,10,20,2,3,5,0,0,6
1281,1,1,1,1,7,"I believe the Artificial Intelligence has been tried and tested which makes it a suitable, less complicated form of decision making ",3,I don't generally understand the working principle of this technology. ,7,I like to believe its fair.,7,To some extent I do,4,5,6,6,34,6,1,8,70,40,1
264,1,2,2,1,5,Undecided as it would aid the lead consultant in making these decisions however I do not know the basis on which the AI is making the decision and if I were a patient who was not chosen I would feel like my situation hadn’t been considered in an empathetic way and would probably feel quite hopeless,7,I would assume it’s through an algorithm that uses a more complex flowchart based system,7,Probably more ‘fair’ as it removes bias,3,It feels morally wrong to hand life or death decisions to an AI,10,10,10,10,21,2,2,4,25,75,4
